"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","","test_replication_during_dynamic_error","tests.integration.ha_tests","","unknown","","","test_logical_replication","",""
"","663","test_postgresql_locales","tests.integration","2026-06-04","passed","2026-06-04","","test_charm","",""
"Test removing and re-relating the two postgresql clusters.","386896","test_unrelate_and_relate","tests.integration.high_availability","2026-06-04","passed","2026-06-04","","test_async_replication","",""
"Test that TLS is enabled when relating to the TLS Certificates Operator.","757357","test_tls_enabled","tests.integration","2026-06-04","passed","2026-06-04","","test_tls","",""
"Test network isolation of replica with watcher.

    Expected behavior:
    - Primary remains primary (doesn't failover) - Raft quorum maintained with watcher
    - With synchronous_mode_strict=true, writes pause (no sync_standby available)
    - After network restore, writes resume
    - No data loss

    Note: This test uses iptables-based network isolation to preserve the replica's IP,
    avoiding the complexity of IP changes when using eth0 device removal.
    ","104249","test_replica_network_isolation_with_watcher","tests.integration.ha_tests","2026-06-04","passed","2026-06-04","","test_stereo_mode","",""
"Build and deploy three unit of PostgreSQL.","490655","test_build_and_deploy","tests.integration.ha_tests","2026-06-04","passed","2026-06-04","","test_self_healing_3","",""
"Build the charm and deploy it.","336379","test_deploy_active","tests.integration","2026-06-04","passed","2026-06-04","","test_password_rotation","",""
"Test wal_compression configuration parameter.","58866","test_wal_compression_config","tests.integration","2026-06-04","passed","2026-06-04","","test_config","",""
"","","test_pg2_dynamic_error","tests.integration.ha_tests","","unknown","","","test_logical_replication","",""
"Build and deploy three unit of PostgreSQL.","451690","test_build_and_deploy","tests.integration.ha_tests","2026-06-04","passed","2026-06-04","","test_self_healing_2","",""
"Test worker process configuration parameters are applied correctly.","55021","test_worker_process_configs","tests.integration","2026-06-04","passed","2026-06-04","","test_config","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","468715","test_deploy_stable","tests.integration.high_availability","2026-06-04","passed","2026-06-04","","test_upgrade_skip_pre_upgrade_check","",""
"Test an upgrade failure and its rollback.","89325","test_fail_and_rollback","tests.integration.high_availability","2026-06-04","passed","2026-06-04","","test_upgrade","",""
"Test that a relation with no database name doesn't block the charm.","","test_relation_with_no_database_name","tests.integration.new_relations","","unknown","","","test_new_relations_1","",""
"Test data persists through a primary deletion.","284084","test_persist_data_through_primary_deletion","tests.integration","2026-06-04","passed","2026-06-04","","test_charm","",""
"Run the create-replication action and wait for the applications to settle.","101615","test_create_replication","tests.integration.spaces","2026-06-04","passed","2026-06-04","","test_spaced_async_replication","",""
"","360576","test_scale_up","tests.integration","2026-06-04","passed","2026-06-04","","test_subordinates","",""
"Deploy PostgreSQL with tmpfs temp storage and data-integrator.","139201","test_deploy_with_tmpfs_storage","tests.integration","2026-06-04","passed","2026-06-04","","test_tmpfs_restart","",""
"","253367","test_removing_stereo_sync_standby","tests.integration.ha_tests","2026-06-04","passed","2026-06-04","","test_scaling","",""
"Test watcher with profile=production blocks on AZ co-location.

    When all units are in the same availability zone (common on single-host
    LXD deployments), a watcher with profile=production should enter
    BlockedStatus because it shares an AZ with the PostgreSQL units.
    This validates the AZ enforcement behavior.

    If JUJU_AVAILABILITY_ZONE is not set (some CI environments), the watcher
    should reach active status since no AZ co-location can be detected.

    Since watcher-offer has limit: 1, we must remove the existing testing watcher
    before deploying the production one, then restore it afterward.
    ","289872","test_watcher_production_profile_az_blocked","tests.integration.ha_tests","2026-06-04","passed","2026-06-04","","test_stereo_mode","",""
"Build and deploy two PostgreSQL clusters.","436526","test_build_and_deploy","tests.integration.ha_tests","2026-06-04","passed","2026-06-04","","test_scaling_three_units_async","",""
"","244","test_exporter_is_up[0]","tests.integration","2026-06-04","passed","2026-06-04","","test_charm","",""
"","36500","test_readd_db_from_prefix","tests.integration","2026-06-04","passed","2026-06-04","","test_username_prefix","",""
"","53691","test_constant","tests.integration.ha_tests","2026-06-04","passed","2026-06-04","","test_synchronous_policy","",""
"","281612","test_removing_unit[roles1]","tests.integration.ha_tests","2026-06-04","passed","2026-06-04","","test_scaling_three_units","",""
"","","test_switchover","tests.integration.ha_tests","","unknown","","","test_logical_replication","",""
"","908","test_settings_are_correct[2]","tests.integration","2026-06-04","passed","2026-06-04","","test_charm","",""
"Verify that a single watcher can monitor multiple PostgreSQL clusters.

    The watcher relation no longer has limit: 1, so the watcher can relate
    to multiple PostgreSQL clusters simultaneously. Each relation gets its own
    Raft instance with a dedicated port and data directory.
    ","98114","test_multi_cluster_watcher","tests.integration.ha_tests","2026-06-04","passed","2026-06-04","","test_stereo_mode","",""
"","441217","test_scale_up","tests.integration.high_availability","2026-06-04","passed","2026-06-04","","test_async_replication","",""
"Relate the database to the application.","154214","test_integrate_with_spaces","tests.integration.spaces","2026-06-04","passed","2026-06-04","","test_spaced_database","",""
"","","test_replication_after_pg2_removal","tests.integration.ha_tests","","unknown","","","test_logical_replication","",""
"Deploy and relate the charms.","459953","test_deploy","tests.integration","2026-06-04","passed","2026-06-04","","test_predefined_roles","",""
"","246","test_database_is_up[2]","tests.integration","2026-06-04","passed","2026-06-04","","test_charm","",""
"Check that the data integrator user can perform the expected operations in each database.","844186","test_operations","tests.integration","2026-06-04","passed","2026-06-04","","test_predefined_roles","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","69196","test_full_cluster_restart[SIGTERM-postgres]","tests.integration.ha_tests","2026-06-04","passed","2026-06-04","","test_self_healing_2","",""
"Build the charm and deploy it.","7844","test_deploy_active","tests.integration","2026-06-04","passed","2026-06-04","","test_tls","",""
"Test network isolation of primary with watcher.

    Expected behavior:
    - Isolated primary's connections terminated
    - Replica promoted to primary
    - When network restored, old primary becomes replica
    ","168798","test_primary_network_isolation_with_watcher","tests.integration.ha_tests","2026-06-04","passed","2026-06-04","","test_stereo_mode","",""
"","29358","test_get_prefix","tests.integration","2026-06-04","passed","2026-06-04","","test_username_prefix","",""
"","888167","test_removing_unit[roles2]","tests.integration.ha_tests","2026-06-04","passed","2026-06-04","","test_scaling_three_units","",""
