"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","78903","test_interruption_db_process[SIGTERM-postgres]","tests.integration.ha_tests","2026-02-01","passed","2026-02-01","","test_self_healing_1","",""
"","336865","test_scale_up","tests.integration","2026-02-01","passed","2026-02-01","","test_subordinates","",""
"Test application deploy in dirty environment with garbage storage from another application.","0","test_app_resources_conflicts_v3","tests.integration.ha_tests","2026-02-01","skipped","2026-02-01","","test_smoke","",""
"Test that async replication fails over correctly.","224128","test_failover_in_main_cluster","tests.integration.high_availability","2026-02-01","passed","2026-02-01","","test_async_replication","",""
"","","test_replication_after_pg2_removal","tests.integration.ha_tests","","unknown","","","test_logical_replication","",""
"Relate the two PostgreSQL clusters.","57304","test_async_relate","tests.integration.high_availability","2026-02-01","passed","2026-02-01","","test_async_replication","",""
"","386","test_settings_are_correct[0]","tests.integration","2026-02-01","passed","2026-02-01","","test_charm","",""
"Force leader change and restart to trigger the library fix code path.

    This test properly validates the fix from
    https://github.com/canonical/postgresql-single-kernel-library/pull/54 by:
    1. Finding the current Juju leader
    2. Killing the leader's juju agent to force leader election
    3. Waiting for a new leader to be elected
    4. Restarting the new leader's LXD machine
    5. Verifying the log message appears confirming the fix handled persistent temp storage

    This scenario triggers set_up_database() on the new leader during the start event,
    which should detect the persistent temp storage and log the appropriate message.
    ","176198","test_leader_change_and_restart","tests.integration","2026-02-01","passed","2026-02-01","","test_persistent_temp_storage_restart","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","87007","test_full_cluster_restart[SIGTERM-/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","tests.integration.ha_tests","2026-02-01","passed","2026-02-01","","test_self_healing_2","",""
"","69","test_database_is_up[2]","tests.integration","2026-02-01","passed","2026-02-01","","test_charm","",""
"","69","test_database_is_up[0]","tests.integration","2026-02-01","passed","2026-02-01","","test_charm","",""
"Build and deploy one unit of PostgreSQL and then test the available plugins.","300385","test_plugins","tests.integration","2026-02-01","passed","2026-02-01","","test_plugins","",""
"Simple test to ensure that the database application charms get deployed.","865090","test_deploy","tests.integration.high_availability","2026-02-01","passed","2026-02-01","","test_async_replication","",""
"Test data persists through a primary deletion.","250556","test_persist_data_through_primary_deletion","tests.integration","2026-02-01","passed","2026-02-01","","test_charm","",""
"Deploy both charms (application and database) to use in the tests.","352391","test_deploy_charms","tests.integration.new_relations","2026-02-01","passed","2026-02-01","","test_new_relations_1","",""
"","326423","test_removing_unit[roles1]","tests.integration.ha_tests","2026-02-01","passed","2026-02-01","","test_scaling_three_units","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","451489","test_deploy_latest","tests.integration.high_availability","2026-02-01","passed","2026-02-01","","test_upgrade","",""
"","","test_pg3_extend_subscription","tests.integration.ha_tests","","unknown","","","test_logical_replication","",""
"","599958","test_removing_unit[roles3]","tests.integration.ha_tests","2026-02-01","passed","2026-02-01","","test_scaling_three_units","",""
"","","test_replication_after_subscriptions_changes","tests.integration.ha_tests","","unknown","","","test_logical_replication","",""
"Test to write to primary, and read the same data back from replicas.","16462","test_data_replication","tests.integration.high_availability","2026-02-01","passed","2026-02-01","","test_async_replication","",""
"","324026","test_removing_unit[roles0]","tests.integration.ha_tests","2026-02-01","passed","2026-02-01","","test_scaling_three_units","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","435704","test_deploy_stable","tests.integration.high_availability","2026-02-01","passed","2026-02-01","","test_upgrade_skip_pre_upgrade_check","",""
"","","test_pg2_dynamic_error","tests.integration.ha_tests","","unknown","","","test_logical_replication","",""
"","38","test_exporter_is_up[2]","tests.integration","2026-02-01","passed","2026-02-01","","test_charm","",""
"Completely cut and restore network (situation when the unit IP doesn't change).","171097","test_network_cut_without_ip_change","tests.integration.ha_tests","2026-02-01","passed","2026-02-01","","test_self_healing_3","",""
"Test basic functionality of database relation interface.","3899","test_database_relation_with_charm_libraries","tests.integration.new_relations","2026-02-01","passed","2026-02-01","","test_new_relations_1","",""
"Build and deploy one unit of PostgreSQL and then test config with wrong parameters.","168078","test_config_parameters","tests.integration","2026-02-01","passed","2026-02-01","","test_config","",""
"","","test_pg3_local_error","tests.integration.ha_tests","","unknown","","","test_logical_replication","",""
"","","test_block_on_missing_region","tests.integration","","unknown","","","test_backups_gcp","",""
"A forceful restart with deleted data and without transaction logs (forced clone).","0","test_forceful_restart_without_data_and_transaction_logs","tests.integration.ha_tests","2026-02-01","skipped","2026-02-01","","test_self_healing_3","",""
"","362449","test_deploy","tests.integration","2026-02-01","passed","2026-02-01","","test_subordinates","",""
"Deploy the charms.","138257","test_deploy","tests.integration","2026-02-01","passed","2026-02-01","","test_invalid_extra_user_roles","",""
"","788238","test_removing_unit[roles4]","tests.integration.ha_tests","2026-02-01","passed","2026-02-01","","test_scaling_three_units_async","",""
"Test to write to primary, and read the same data back from replicas.","16754","test_data_replication","tests.integration.high_availability","2026-02-01","passed","2026-02-01","","test_async_replication_upgrade","",""
"Build and deploy two units of PostgreSQL in GCP, test backup and restore actions.","1812059","test_backup_gcp","tests.integration","2026-02-01","broken","2026-02-01","","test_backups_gcp","",""
"Relate the database to the application.","153998","test_integrate_with_spaces","tests.integration.spaces","2026-02-01","passed","2026-02-01","","test_spaced_database","",""
"Build and deploy two PostgreSQL clusters.","478968","test_build_and_deploy","tests.integration.ha_tests","2026-02-01","passed","2026-02-01","","test_scaling_three_units_async","",""
"","102584","test_filter_out_degraded_replicas","tests.integration.new_relations","2026-02-01","passed","2026-02-01","","test_new_relations_1","",""
"Verifies that database units with attached storage correctly repurpose storage.

    It is not enough to verify that Juju attaches the storage. Hence test checks that the
    postgresql properly uses the storage that was provided. (ie. doesn't just re-sync everything
    from primary, but instead computes a diff between current storage and primary storage.)
    ","477198","test_storage_re_use","tests.integration.ha_tests","2026-02-01","passed","2026-02-01","","test_self_healing_1","",""
"Deploy the charm with the LXD spaces.","400738","test_deploy","tests.integration.spaces","2026-02-01","passed","2026-02-01","","test_spaced_database","",""
"","","test_pg2_resolve_dynamic_error","tests.integration.ha_tests","","unknown","","","test_logical_replication","",""
"Test graceful promotion of a standby cluster to primary.","221004","test_standby_promotion","tests.integration.high_availability","2026-02-01","passed","2026-02-01","","test_async_replication","",""
"Build and deploy three unit of PostgreSQL.","434099","test_build_and_deploy","tests.integration.ha_tests","2026-02-01","passed","2026-02-01","","test_self_healing_3","",""
"Kill primary unit, check reelection.","130006","test_reelection","tests.integration.ha_tests","2026-02-01","passed","2026-02-01","","test_replication","",""
